"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040069137'","'2018-09-22 00:25:00'","737325.01736111","1"
"'040078051'","'2018-09-22 00:25:00'","737325.01736111","2"
"'040077960'","'2018-09-22 00:25:00'","737325.01736111","2"
"'040078043'","'2018-09-22 00:25:00'","737325.01736111","2"
"'040078060'","'2018-09-22 00:20:00'","737325.01388889","2"
"'040078092'","'2018-09-22 00:20:00'","737325.01388889","2"
"'040056208'","'2018-09-22 00:20:00'","737325.01388889","2"
"'040077974'","'2018-09-22 00:20:00'","737325.01388889","3"
"'040069137'","'2018-09-22 00:20:00'","737325.01388889","3"
"'040078097'","'2018-09-22 00:20:00'","737325.01388889","5"
"'040077974'","'2018-09-22 00:15:00'","737325.01041667","2"
"'040078097'","'2018-09-22 00:15:00'","737325.01041667","4"
"'040078060'","'2018-09-22 00:15:00'","737325.01041667","2"
"'040078048'","'2018-09-22 00:15:00'","737325.01041667","1"
"'040078092'","'2018-09-22 00:15:00'","737325.01041667","3"
"'040056208'","'2018-09-22 00:15:00'","737325.01041667","1"
"'040079459'","'2018-09-22 00:15:00'","737325.01041667","1"
"'040078043'","'2018-09-22 00:10:00'","737325.00694444","1"
"'040078095'","'2018-09-22 00:10:00'","737325.00694444","1"
"'040078052'","'2018-09-22 00:10:00'","737325.00694444","2"
"'040077960'","'2018-09-22 00:10:00'","737325.00694444","1"
"'040078051'","'2018-09-22 00:10:00'","737325.00694444","1"
"'040078048'","'2018-09-22 00:10:00'","737325.00694444","2"
"'040077949'","'2018-09-22 00:10:00'","737325.00694444","1"
"'040056208'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040078048'","'2018-09-22 00:05:00'","737325.00347222","2"
"'040069137'","'2018-09-22 00:05:00'","737325.00347222","2"
"'040078060'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040078040'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040078092'","'2018-09-22 00:05:00'","737325.00347222","2"
"'040078097'","'2018-09-22 00:05:00'","737325.00347222","4"
"'040078051'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040077688'","'2018-09-22 00:05:00'","737325.00347222","2"
"'040078052'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040077950'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040078043'","'2018-09-22 00:05:00'","737325.00347222","1"
"'040078095'","'2018-09-22 00:00:00'","737325","2"
"'040077950'","'2018-09-22 00:00:00'","737325","4"
"'040077960'","'2018-09-22 00:00:00'","737325","3"
"'040078048'","'2018-09-22 00:00:00'","737325","2"
"'040079460'","'2018-09-22 00:00:00'","737325","1"
"'040078097'","'2018-09-22 00:00:00'","737325","1"
"'040078097'","'2018-09-21 23:55:00'","737324.99652778","4"
"'040077973'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040078059'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040078084'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040077950'","'2018-09-21 23:55:00'","737324.99652778","3"
"'040077974'","'2018-09-21 23:55:00'","737324.99652778","3"
"'040078048'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040056208'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040078060'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040078092'","'2018-09-21 23:55:00'","737324.99652778","1"
"'040077950'","'2018-09-21 23:50:00'","737324.99305556","2"
"'040078052'","'2018-09-21 23:50:00'","737324.99305556","2"
"'040079460'","'2018-09-21 23:50:00'","737324.99305556","2"
"'040078051'","'2018-09-21 23:50:00'","737324.99305556","3"
"'040078095'","'2018-09-21 23:50:00'","737324.99305556","2"
"'040078040'","'2018-09-21 23:50:00'","737324.99305556","1"
"'040078048'","'2018-09-21 23:50:00'","737324.99305556","2"
"'040079459'","'2018-09-21 23:50:00'","737324.99305556","1"
"'040078043'","'2018-09-21 23:50:00'","737324.99305556","1"
"'040078051'","'2018-09-21 23:45:00'","737324.98958333","1"
"'040077960'","'2018-09-21 23:45:00'","737324.98958333","2"
"'040077949'","'2018-09-21 23:45:00'","737324.98958333","3"
"'040078095'","'2018-09-21 23:45:00'","737324.98958333","4"
"'040079460'","'2018-09-21 23:45:00'","737324.98958333","1"
"'040078048'","'2018-09-21 23:45:00'","737324.98958333","4"
"'040077950'","'2018-09-21 23:45:00'","737324.98958333","3"
"'040069137'","'2018-09-21 23:40:00'","737324.98611111","1"
"'040078095'","'2018-09-21 23:40:00'","737324.98611111","1"
"'040056208'","'2018-09-21 23:40:00'","737324.98611111","1"
"'040077960'","'2018-09-21 23:40:00'","737324.98611111","1"
"'040077949'","'2018-09-21 23:40:00'","737324.98611111","1"
"'040077974'","'2018-09-21 23:40:00'","737324.98611111","3"
"'040078097'","'2018-09-21 23:40:00'","737324.98611111","3"
"'040056208'","'2018-09-21 23:35:00'","737324.98263889","2"
"'040079460'","'2018-09-21 23:35:00'","737324.98263889","1"
"'040077974'","'2018-09-21 23:35:00'","737324.98263889","2"
"'040078097'","'2018-09-21 23:35:00'","737324.98263889","3"
"'040069137'","'2018-09-21 23:35:00'","737324.98263889","1"
"'040077960'","'2018-09-21 23:35:00'","737324.98263889","1"
"'040078043'","'2018-09-21 23:35:00'","737324.98263889","1"
"'040078095'","'2018-09-21 23:35:00'","737324.98263889","1"
"'040077950'","'2018-09-21 23:35:00'","737324.98263889","3"
"'040078043'","'2018-09-21 23:30:00'","737324.97916667","1"
"'040078095'","'2018-09-21 23:30:00'","737324.97916667","1"
"'040077950'","'2018-09-21 23:30:00'","737324.97916667","2"
"'040079459'","'2018-09-21 23:30:00'","737324.97916667","2"
"'040078046'","'2018-09-21 23:30:00'","737324.97916667","1"
"'040077950'","'2018-09-21 23:05:00'","737324.96180556","1"
"'040077950'","'2018-09-21 23:00:00'","737324.95833333","2"
"'040078097'","'2018-09-21 23:00:00'","737324.95833333","2"
"'040078092'","'2018-09-21 23:00:00'","737324.95833333","3"
"'040077973'","'2018-09-21 23:00:00'","737324.95833333","1"
"'040078058'","'2018-09-21 11:55:00'","737324.49652778","1"
"'040078066'","'2018-09-20 23:45:00'","737323.98958333","1"
"'040078049'","'2018-09-20 23:45:00'","737323.98958333","1"
"'040078050'","'2018-09-20 23:45:00'","737323.98958333","1"
"'040077964'","'2018-09-20 23:45:00'","737323.98958333","1"
"'040078068'","'2018-09-20 23:40:00'","737323.98611111","1"
"'040077948'","'2018-09-20 23:40:00'","737323.98611111","1"
"'040069066'","'2018-09-20 23:40:00'","737323.98611111","1"
"'040077948'","'2018-09-20 23:35:00'","737323.98263889","2"
"'040078049'","'2018-09-20 23:35:00'","737323.98263889","1"
"'040077937'","'2018-09-20 23:30:00'","737323.97916667","1"
"'040078068'","'2018-09-20 23:30:00'","737323.97916667","1"
"'040078074'","'2018-09-20 23:30:00'","737323.97916667","2"
"'040078057'","'2018-09-20 23:30:00'","737323.97916667","1"
"'040078062'","'2018-09-20 23:25:00'","737323.97569444","1"
"'040077948'","'2018-09-20 23:25:00'","737323.97569444","2"
"'040056203'","'2018-09-20 23:25:00'","737323.97569444","1"
"'040077964'","'2018-09-20 23:20:00'","737323.97222222","2"
"'040077971'","'2018-09-20 23:20:00'","737323.97222222","2"
"'040078068'","'2018-09-20 23:20:00'","737323.97222222","2"
"'040078041'","'2018-09-20 23:15:00'","737323.96875","1"
"'040077957'","'2018-09-20 23:15:00'","737323.96875","2"
"'040077948'","'2018-09-20 23:15:00'","737323.96875","3"
"'040077964'","'2018-09-20 23:15:00'","737323.96875","1"
"'040078074'","'2018-09-20 23:15:00'","737323.96875","1"
"'040078049'","'2018-09-20 22:05:00'","737323.92013889","2"
"'040078068'","'2018-09-20 21:40:00'","737323.90277778","1"
"'040077964'","'2018-09-20 21:40:00'","737323.90277778","1"
"'040077971'","'2018-09-20 21:40:00'","737323.90277778","1"
"'040077948'","'2018-09-20 21:40:00'","737323.90277778","1"
"'040077950'","'2018-09-20 20:35:00'","737323.85763889","1"
"'040082100'","'2018-09-20 20:35:00'","737323.85763889","1"
"'040077950'","'2018-09-20 20:30:00'","737323.85416667","1"
"'040078097'","'2018-09-20 20:30:00'","737323.85416667","2"
"'040077950'","'2018-09-20 20:00:00'","737323.83333333","3"
"'040077942'","'2018-09-20 20:00:00'","737323.83333333","1"
"'040069137'","'2018-09-20 20:00:00'","737323.83333333","1"
"'040078097'","'2018-09-20 20:00:00'","737323.83333333","3"
"'040078095'","'2018-09-20 20:00:00'","737323.83333333","1"
"'040077940'","'2018-09-20 20:00:00'","737323.83333333","1"
"'040078078'","'2018-09-20 20:00:00'","737323.83333333","2"
"'040056208'","'2018-09-20 19:55:00'","737323.82986111","1"
"'040078097'","'2018-09-20 19:55:00'","737323.82986111","1"
"'040077950'","'2018-09-20 19:55:00'","737323.82986111","1"
"'040079460'","'2018-09-20 19:55:00'","737323.82986111","1"
"'040082100'","'2018-09-20 19:55:00'","737323.82986111","1"
"'040078097'","'2018-09-20 19:50:00'","737323.82638889","1"
"'040056208'","'2018-09-20 19:50:00'","737323.82638889","1"
"'040077971'","'2018-09-19 21:20:00'","737322.88888889","1"
"'040078041'","'2018-09-19 21:15:00'","737322.88541667","1"
"'040077950'","'2018-09-19 21:00:00'","737322.875","1"
"'040077688'","'2018-09-19 20:30:00'","737322.85416667","1"
"'040077964'","'2018-09-19 20:10:00'","737322.84027778","1"
"'040077969'","'2018-09-19 20:10:00'","737322.84027778","1"
"'040077939'","'2018-09-19 20:05:00'","737322.83680556","1"
"'040077971'","'2018-09-19 20:05:00'","737322.83680556","2"
"'040077964'","'2018-09-19 20:05:00'","737322.83680556","2"
"'040077943'","'2018-09-19 20:05:00'","737322.83680556","1"
"'040077948'","'2018-09-19 20:00:00'","737322.83333333","2"
"'040077964'","'2018-09-19 20:00:00'","737322.83333333","1"
"'040077969'","'2018-09-19 20:00:00'","737322.83333333","1"
"'040078062'","'2018-09-19 19:55:00'","737322.82986111","1"
"'040077964'","'2018-09-19 19:55:00'","737322.82986111","1"
"'040077948'","'2018-09-19 19:55:00'","737322.82986111","1"
"'040077964'","'2018-09-18 21:30:00'","737321.89583333","2"
"'040078068'","'2018-09-18 21:30:00'","737321.89583333","1"
"'040078097'","'2018-09-18 21:25:00'","737321.89236111","2"
"'040078068'","'2018-09-18 21:25:00'","737321.89236111","3"
"'040078079'","'2018-09-18 21:25:00'","737321.89236111","1"
"'040077948'","'2018-09-18 21:25:00'","737321.89236111","1"
"'040078062'","'2018-09-18 21:25:00'","737321.89236111","1"
"'040078051'","'2018-09-18 21:25:00'","737321.89236111","1"
"'040077964'","'2018-09-18 21:25:00'","737321.89236111","2"
"'040077942'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040078079'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040077950'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040078097'","'2018-09-18 21:20:00'","737321.88888889","6"
"'040079460'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040078043'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040077949'","'2018-09-18 21:20:00'","737321.88888889","1"
"'040069137'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040078040'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040078079'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040078084'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040077688'","'2018-09-18 21:15:00'","737321.88541667","1"
"'040077950'","'2018-09-18 21:15:00'","737321.88541667","2"
"'040078095'","'2018-09-18 21:15:00'","737321.88541667","3"
"'040078051'","'2018-09-18 21:15:00'","737321.88541667","1"
