PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040078080','2018-09-18 20:20:00',737321.84722222,89,34,27,4.0666666666667
'040078080','2018-09-18 20:25:00',737321.85069444,49,51,52,6.7763157894737
'040078080','2018-09-18 20:30:00',737321.85416667,62,75,5,5.6338028169014
'040078093','2018-09-18 20:35:00',737321.85763889,108,42,1,2.8476821192053
'040078093','2018-09-18 20:40:00',737321.86111111,55,62,32,6.3087248322148
'040078093','2018-09-18 20:45:00',737321.86458333,33,87,33,7.843137254902
'040078065','2018-09-18 20:30:00',737321.85416667,83,34,10,3.4645669291339
'040078065','2018-09-18 20:40:00',737321.86111111,47,83,20,6.8666666666667
'040078065','2018-09-18 20:45:00',737321.86458333,6,58,85,9.5973154362416
'040077973','2018-09-18 20:30:00',737321.85416667,100,36,0,2.6470588235294
'040077973','2018-09-18 20:40:00',737321.86111111,67,49,35,5.5629139072848
'040077973','2018-09-18 20:45:00',737321.86458333,64,64,23,5.7615894039735
'040056207','2018-09-18 20:15:00',737321.84375,33,60,56,7.7852348993289
'040056207','2018-09-18 20:20:00',737321.84722222,16,86,52,8.961038961039
'040056207','2018-09-18 20:25:00',737321.85069444,64,61,30,5.8709677419355
'040078093','2018-09-18 20:50:00',737321.86805556,69,49,38,5.5769230769231
'040078093','2018-09-18 20:55:00',737321.87152778,47,58,49,6.948051948052
'040078093','2018-09-18 21:00:00',737321.875,49,84,23,6.8589743589744
'040078040','2018-09-18 20:30:00',737321.85416667,65,51,2,4.4915254237288
'040078040','2018-09-18 20:40:00',737321.86111111,56,85,9,6.2666666666667
'040078040','2018-09-18 20:45:00',737321.86458333,35,76,38,7.6510067114094
'040078082','2018-09-18 20:35:00',737321.85763889,63,23,10,3.4375
'040078082','2018-09-18 20:40:00',737321.86111111,83,43,22,4.3918918918919
'040078082','2018-09-18 20:50:00',737321.86805556,64,14,38,4.4827586206897
'040078092','2018-09-18 20:35:00',737321.85763889,107,41,4,2.9605263157895
'040078092','2018-09-18 20:45:00',737321.86458333,39,66,55,7.5625
'040078092','2018-09-18 20:50:00',737321.86805556,44,45,63,7.1052631578947
'040078046','2018-09-18 20:35:00',737321.85763889,64,65,11,5.4285714285714
'040078046','2018-09-18 20:40:00',737321.86111111,17,63,70,8.8666666666667
'040078046','2018-09-18 20:45:00',737321.86458333,2,22,126,9.8666666666667
'040078080','2018-09-18 20:35:00',737321.85763889,125,25,3,1.8300653594771
'040078080','2018-09-18 20:40:00',737321.86111111,51,53,34,6.304347826087
'040078080','2018-09-18 20:45:00',737321.86458333,53,76,26,6.5806451612903
'040078091','2018-09-18 20:25:00',737321.85069444,75,61,9,4.8275862068965
'040078091','2018-09-18 20:30:00',737321.85416667,103,39,0,2.7464788732394
'040078091','2018-09-18 20:35:00',737321.85763889,89,55,1,3.8620689655172
'040078082','2018-09-18 20:55:00',737321.87152778,92,37,27,4.1025641025641
'040078082','2018-09-18 21:00:00',737321.875,55,29,69,6.4052287581699
'040078082','2018-09-18 21:05:00',737321.87847222,32,48,73,7.9084967320261
'040078065','2018-09-18 20:50:00',737321.86805556,36,59,62,7.7070063694268
'040078065','2018-09-18 20:55:00',737321.87152778,37,65,57,7.6729559748428
'040078065','2018-09-18 19:45:00',737321.82291667,46,45,58,6.9127516778524
'040078065','2018-09-18 19:50:00',737321.82638889,12,41,99,9.2105263157895
'040078065','2018-09-18 19:55:00',737321.82986111,30,52,71,8.0392156862745
'040078083','2018-09-18 19:45:00',737321.82291667,30,45,72,7.9591836734694
'040078083','2018-09-18 19:50:00',737321.82638889,29,61,63,8.1045751633987
'040078083','2018-09-18 19:55:00',737321.82986111,63,42,47,5.8552631578947
'040079459','2018-09-18 19:45:00',737321.82291667,82,39,25,4.3835616438356
'040079459','2018-09-18 19:50:00',737321.82638889,46,77,31,7.012987012987
'040079459','2018-09-18 19:55:00',737321.82986111,59,63,31,6.1437908496732
'040078051','2018-09-18 19:50:00',737321.82638889,3,36,110,9.7986577181208
'040078051','2018-09-18 19:55:00',737321.82986111,25,48,80,8.3660130718954
'040078051','2018-09-18 20:00:00',737321.83333333,21,71,61,8.6274509803922
'040077974','2018-09-18 19:50:00',737321.82638889,29,81,35,8
'040077974','2018-09-18 19:55:00',737321.82986111,36,75,41,7.6315789473684
'040077974','2018-09-18 20:00:00',737321.83333333,32,95,28,7.9354838709677
